Rxn name,Rxn description,Formula,Gene-reaction association,Genes,Subsystem,Reversible,LB,UB,Objective
2AACLPPEAT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpe161[c] + hdeACP[c]  -> ACP[c] + pe161[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPPEAT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpe180[c] + ocdcaACP[c]  -> ACP[c] + pe180[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPPEAT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpe181[c] + octeACP[c]  -> ACP[c] + pe181[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPE160tipp,2 Acyl sn glycero 3 phosphoethanolamine n C160 transporter via facilitated diffusion periplasm ,2agpe160[p]  -> 2agpe160[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPE161tipp,2 Acyl sn glycero 3 phosphoethanolamine n C161 transporter via facilitated diffusion periplasm ,2agpe161[p]  -> 2agpe161[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPE180tipp,2 Acyl sn glycero 3 phosphoethanolamine n C180 transporter via facilitated diffusion periplasm ,2agpe180[p]  -> 2agpe180[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPE181tipp,2 Acyl sn glycero 3 phosphoethanolamine n C181 transporter via facilitated diffusion periplasm ,2agpe181[p]  -> 2agpe181[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPG160tipp,2 Acyl sn glycero 3 phosphoglycerol n C160 transporter via facilitated diffusion periplasm ,2agpg160[p]  -> 2agpg160[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPG161tipp,2 Acyl sn glycero 3 phosphoglycerol n C161 transporter via facilitated diffusion periplasm ,2agpg161[p]  -> 2agpg161[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPG180tipp,2 Acyl sn glycero 3 phosphoglycerol n C180 transporter via facilitated diffusion periplasm ,2agpg180[p]  -> 2agpg180[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AGPG181tipp,2 Acyl sn glycero 3 phosphoglycerol n C181 transporter via facilitated diffusion periplasm ,2agpg181[p]  -> 2agpg181[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2DHGLCK,dehydrogluconokinase,2dhglcn[c] + atp[c] + 2 h[c]  -> 6p2dhglcn[c] + adp[c] ,PP_3378,PP_3378,Glycolysis,0,0,1000,0
2DHGLCNkt_tpp,2 ketogluconate transporter,2dhglcn[p] + h[p]  -> 2dhglcn[c] + h[c] ,PP_3377,PP_3377,Transport Inner Membrane,0,0,1000,0
2DHGLCNtex,ketogluconate transport via diffusion extracellular to periplasm ,2dhglcn[e]  <=> 2dhglcn[p] ,,,Transport Outer Membrane,1,-1000,1000,0
2PQQS,pyrroloquinoline quinone biosynthesis 2pqq ,3pqq[c]  <=> 2pqq[c] + h2o[c] ,,,Cofactor and Prosthetic Group Biosynthesis Pyrroloquinoline quinone biosynthesis,1,-1000,1000,0
34DHCINMtex,DHCINM transport via diffusion extracellular to periplasm ,34dhcinm[e]  <=> 34dhcinm[p] ,,,Transport Outer Membrane,1,-1000,1000,0
34DHCINMtpp,DHCINM transport via diffusion periplasm ,34dhcinm[p]  <=> 34dhcinm[c] ,,,Transport Inner Membrane,1,-1000,1000,0
34DHPHEtex,3 4 Dihydroxy L phenylalanine transport,34dhphe[e]  <=> 34dhphe[p] ,,,Transport Outer Membrane,1,-1000,1000,0
34DHPHEtpp,3 4 Dihydroxy L phenylalanine transport,34dhphe[p] + h[p]  -> 34dhphe[c] + h[c] ,,,Transport Inner Membrane,0,0,1000,0
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp[c] + o2[c]  -> co2[c] + hgentis[c] ,PP_3433,PP_3433,Aromatic Compounds Degradation Homogentisate pathway,0,0,1000,0
3AIBT2,L 3 aminoisobutyrate transaminase,ala_L[c] + mmtsa[c]  <=> 3aib[c] + pyr[c] ,PP_0596,PP_0596,Valine Leucine and Isoleucine Metabolism,1,-1000,1000,0
3HAACOAT100,3 Hydroxyacyl ACPCoA Transacylase,3hdecACP[c] + coa[c]  <=> ACP[c] + R_3hdcoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT120,3 Hydroxyacyl ACPCoA Transacylase,3hddecACP[c] + coa[c]  <=> ACP[c] + R_3hddcoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT121,3 Hydroxyacyl ACPCoA Transacylase,3hcddec5eACP[c] + coa[c]  <=> ACP[c] + R_3hcddec5ecoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT140,3 Hydroxyacyl ACPCoA Transacylase,3hmrsACP[c] + coa[c]  <=> ACP[c] + R_3hmrscoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT141,3 Hydroxyacyl ACPCoA Transacylase,3hcmrs7eACP[c] + coa[c]  <=> ACP[c] + R_3hcmrs7ecoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT60,3 Hydroxyacyl ACPCoA Transacylase,3hhexACP[c] + coa[c]  <=> ACP[c] + R_3hhcoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAACOAT80,3 Hydroxyacyl ACPCoA Transacylase,3hoctACP[c] + coa[c]  <=> ACP[c] + R_3hocoa[c] ,PP_1408,PP_1408,PHAs Metabolism,1,-1000,1000,0
3HAD100,3 hydroxyacyl acyl carrier protein dehydratase n C100 ,3hdecACP[c]  -> h2o[c] + tdec2eACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD120,3 hydroxyacyl acyl carrier protein dehydratase n C120 ,3hddecACP[c]  -> h2o[c] + tddec2eACP[c] ,( PP_4174  or  PP_1602 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD121,3 hydroxyacyl acyl carrier protein dehydratase n C121 ,3hcddec5eACP[c]  -> h2o[c] + t3c5ddeceACP[c] ,( PP_4174  or  PP_1602 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD140,3 hydroxyacyl acyl carrier protein dehydratase n C140 ,3hmrsACP[c]  -> h2o[c] + tmrs2eACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD141,3 hydroxyacyl acyl carrier protein dehydratase n C141 ,3hcmrs7eACP[c]  -> h2o[c] + t3c7mrseACP[c] ,( PP_4174  or  PP_1602 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD160,3 hydroxyacyl acyl carrier protein dehydratase n C160 ,3hpalmACP[c]  -> h2o[c] + tpalm2eACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD161,3 hydroxyacyl acyl carrier protein dehydratase n C161 ,3hcpalm9eACP[c]  -> h2o[c] + t3c9palmeACP[c] ,( PP_4174  or  PP_1602 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD180,3 hydroxyacyl acyl carrier protein dehydratase n C180 ,3hoctaACP[c]  -> h2o[c] + toctd2eACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD181,3 hydroxyacyl acyl carrier protein dehydratase n C181 ,3hcvac11eACP[c]  -> h2o[c] + t3c11vaceACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD40,3 hydroxyacyl acyl carrier protein dehydratase n C40 ,3haACP[c]  -> but2eACP[c] + h2o[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD60,3 hydroxyacyl acyl carrier protein dehydratase n C60 ,3hhexACP[c]  -> h2o[c] + thex2eACP[c] ,( PP_4174  or  PP_1602 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HAD80,3 hydroxyacyl acyl carrier protein dehydratase n C80 ,3hoctACP[c]  -> h2o[c] + toct2eACP[c] ,( PP_1602  or  PP_4174 ),PP_1602 PP_4174,Fatty Acid Biosynthesis,0,0,1000,0
3HBCD,3 hydroxybutyryl CoA dehydratase,b2coa[c] + h2o[c]  <=> 3hbcoa_R[c] ,PP_4817,PP_4817,PHAs Metabolism,1,-1000,1000,0
3HBCOAHL,3 hydroxyisobutyryl CoA hydrolase,3hibutcoa[c] + h2o[c]  -> 3hmp[c] + coa[c] + h[c] ,,,Valine leucine and isoleucine degradation,0,0,1000,0
3HLYTCL,3 Hydroxy L tyrosine carboxy lyase,34dhphe[c] + h[c]  -> co2[c] + dopa[c] ,PP_2552,PP_2552,Plant growth promoting,0,0,1000,0
3MBZALDH,Benzyl alcohol dehydrogenase,3mbzalc[c] + nad[c]  -> 3mbzald[c] + h[c] + nadh[c] ,pWW0_128,pWW0_128,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
3MBZDH,Benzaldehyde dehydrogenase,3mbzald[c] + h2o[c] + nad[c]  -> 2 h[c] + m_tol[c] + nadh[c] ,pWW0_131,pWW0_131,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
3MBt2pp,HIsovalerate symport periplasm ,3mb[p] + h[p]  -> 3mb[c] + h[c] ,,,Transport Inner Membrane,0,0,1000,0
3MBtex,3 methylbutanoic acid transport via diffusion extracellular to periplasm ,3mb[e]  <=> 3mb[p] ,,,Transport Outer Membrane,1,-1000,1000,0
3MCAT23DOX,catechol 2 3 dioxygenase m xylene ,3mcat[c] + o2[c]  -> cchoxod[c] + h[c] ,pWW0_097,pWW0_097,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
3OADPCOAT,3 oxoadipate CoA transferase,3oxoadp[c] + succoa[c]  -> oxadpcoa[c] + succ[c] ,( PP_3951  and  PP_3952 ),PP_3951 PP_3952,Aromatic Compounds Degradation B Ketoadipate pathway,0,0,1000,0
3OAR100,3 oxoacyl acyl carrier protein reductase n C100 ,3odecACP[c] + h[c] + nadph[c]  <=> 3hdecACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR120,3 oxoacyl acyl carrier protein reductase n C120 ,3oddecACP[c] + h[c] + nadph[c]  <=> 3hddecACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR121,3 oxoacyl acyl carrier protein reductase n C121 ,3ocddec5eACP[c] + h[c] + nadph[c]  -> 3hcddec5eACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,0,0,1000,0
3OAR140,3 oxoacyl acyl carrier protein reductase n C140 ,3omrsACP[c] + h[c] + nadph[c]  <=> 3hmrsACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR141,3 oxoacyl acyl carrier protein reductase n C141 ,3ocmrs7eACP[c] + h[c] + nadph[c]  -> 3hcmrs7eACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,0,0,1000,0
3OAR160,3 oxoacyl acyl carrier protein reductase n C160 ,3opalmACP[c] + h[c] + nadph[c]  <=> 3hpalmACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR161,3 oxoacyl acyl carrier protein reductase n C161 ,3ocpalm9eACP[c] + h[c] + nadph[c]  -> 3hcpalm9eACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,0,0,1000,0
3OAR180,3 oxoacyl acyl carrier protein reductase n C180 ,3ooctdACP[c] + h[c] + nadph[c]  <=> 3hoctaACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR181,3 oxoacyl acyl carrier protein reductase n C181 ,3ocvac11eACP[c] + h[c] + nadph[c]  -> 3hcvac11eACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,0,0,1000,0
3OAR40,3 oxoacyl acyl carrier protein reductase n C40 ,actACP[c] + h[c] + nadph[c]  <=> 3haACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR60,3 oxoacyl acyl carrier protein reductase n C60 ,3ohexACP[c] + h[c] + nadph[c]  <=> 3hhexACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAR80,3 oxoacyl acyl carrier protein reductase n C80 ,3ooctACP[c] + h[c] + nadph[c]  <=> 3hoctACP[c] + nadp[c] ,PP_1914,PP_1914,Fatty Acid Biosynthesis,1,-1000,1000,0
3OAS100,3 oxoacyl acyl carrier protein synthase n C100 ,h[c] + malACP[c] + ocACP[c]  -> 3odecACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS120,3 oxoacyl acyl carrier protein synthase n C120 ,dcaACP[c] + h[c] + malACP[c]  -> 3oddecACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS121,3 oxoacyl acyl carrier protein synthase n C121 ,cdec3eACP[c] + h[c] + malACP[c]  -> 3ocddec5eACP[c] + ACP[c] + co2[c] ,PP_4175,PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS140,3 oxoacyl acyl carrier protein synthase n C140 ,ddcaACP[c] + h[c] + malACP[c]  -> 3omrsACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS141,3 oxoacyl acyl carrier protein synthase n C141 ,cddec5eACP[c] + h[c] + malACP[c]  -> 3ocmrs7eACP[c] + ACP[c] + co2[c] ,PP_4175,PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS160,3 oxoacyl acyl carrier protein synthase n C160 ,h[c] + malACP[c] + myrsACP[c]  -> 3opalmACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS161,3 oxoacyl acyl carrier protein synthase n C161 ,h[c] + malACP[c] + tdeACP[c]  -> 3ocpalm9eACP[c] + ACP[c] + co2[c] ,PP_4175,PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS180,3 oxoacyl acyl carrier protein synthase n C180 ,h[c] + malACP[c] + palmACP[c]  -> 3ooctdACP[c] + ACP[c] + co2[c] ,PP_4175,PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS181,3 oxoacyl acyl carrier protein synthase n C181 ,h[c] + hdeACP[c] + malACP[c]  -> 3ocvac11eACP[c] + ACP[c] + co2[c] ,PP_4175,PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS60,3 oxoacyl acyl carrier protein synthase n C60 ,butACP[c] + h[c] + malACP[c]  -> 3ohexACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OAS80,3 oxoacyl acyl carrier protein synthase n C80 ,h[c] + hexACP[c] + malACP[c]  -> 3ooctACP[c] + ACP[c] + co2[c] ,( PP_1916  or  PP_4175  or  PP_3303 ),PP_1916 PP_3303 PP_4175,Fatty Acid Biosynthesis,0,0,1000,0
3OXCOAT,3 oxoadipyl CoA thiolase,coa[c] + oxadpcoa[c]  -> accoa[c] + succoa[c] ,( PP_3280  or  PP_1377 ),PP_1377 PP_3280,Aromatic Compounds Degradation B Ketoadipate pathway,0,0,1000,0
3OXOADPt_ex_,3 oxoadipate transport e ,3oxoadp[e]  <=> 3oxoadp[p] ,,,Transport Outer Membrane,1,-1000,1000,0
3OXOADPt_pp_,3 oxoadipate MFS transporter,3oxoadp[p] + h[p]  <=> 3oxoadp[c] + h[c] ,PP_1378,PP_1378,Transport Inner Membrane,1,-1000,1000,0
3PQQS,Pyrroloquinolone quinone biosynthesis 3pqq ,4pqq[c]  <=> 3pqq[c] ,,,Cofactor and Prosthetic Group Biosynthesis Pyrroloquinoline quinone biosynthesis,1,-1000,1000,0
3_4DHBZ1t_pp_,3 4 dihidroxy benzoate reversible trasporter via proton symport,34dhbz[p] + h[p]  <=> 34dhbz[c] + h[c] ,PP_1376,PP_1376,Transport Inner Membrane,1,-1000,1000,0
3_4DHBZt2,Protocatechuate outher membrane transport,34dhbz[e]  <=> 34dhbz[p] ,PP_1382,PP_1382,Transport Outer Membrane,1,-1000,1000,0
4ABUTabcpp,GABA transport via ABC system periplasm ,4abut[p] + atp[c] + h2o[c]  -> 4abut[c] + adp[c] + h[c] + pi[c] ,( PP_3814  and  PP_3815  and  PP_3816  and  PP_3817 ),PP_3814 PP_3815 PP_3816 PP_3817,Transport ABC system,0,0,1000,0
4CMCOAS,feruloyl coenzyme A synthetase AMP forming ,T4hcinnm[c] + atp[c] + coa[c]  -> 4cmcoa[c] + amp[c] + ppi[c] ,PP_3356,PP_3356,Aromatic Compounds Degradation B Ketoadipate pathway,0,0,1000,0
4CMLCL_kt,4 carboxymuconolactone decarboxylase,4cml[c] + h[c]  -> 5odhf2a[c] + co2[c] ,( PP_1381  or  PP_3648 ),PP_1381 PP_3648,Aromatic Compounds Degradation B Ketoadipate pathway,0,0,1000,0
4HBADH,4 hydroxy benzyl alcohol dehydrogenase,4hba[c] + nad[c]  <=> 4hbald[c] + h[c] + nadh[c] ,,,Cofactor and Prosthetic Group Biosynthesis Thiamine Metabolism,1,-1000,1000,0
4HBHYOX,4 hydroxybenzoate NADPHoxygen oxidoreductase 3 hydroxylating ,4hbz[c] + h[c] + nadph[c] + o2[c]  -> 34dhbz[c] + h2o[c] + nadp[c] ,PP_3537,PP_3537,Aromatic Compounds Degradation B Ketoadipate pathway,0,0,1000,0
4HBZtex,4 Hydroxybenzoate transport extracellular ,4hbz[e]  <=> 4hbz[p] ,PP_1383,PP_1383,Transport Outer Membrane,1,-1000,1000,0
4HDPROO,cis 4 hydroxy D proline oxidase,4hpro_DC[c] + 2 ficytc[c]  -> 1py4h3c[c] + 2 focytc[c] + h[c] ,PP_1255,PP_1255,Alternate Carbon and Nitrogen source Hydroxy proline metabolism,0,0,1000,0
4HPRODCabcpp,cis 4 Hydroxy D proline transport via ABC system,4hpro_DC[p] + atp[c] + h2o[c]  -> 4hpro_DC[c] + adp[c] + h[c] + pi[c] ,PP_1259,PP_1259,Transport ABC system,0,0,1000,0
4HPRODCtex,cis 4 hydroxy L proline transport extracellular ,4hpro_DC[e]  <=> 4hpro_DC[p] ,,,Transport Outer Membrane,1,-1000,1000,0
4HPROE,4 hydroxyproline epimerase,4hpro_LT[c]  <=> 4hpro_DC[c] ,PP_1258,PP_1258,Alternate Carbon and Nitrogen source Hydroxy proline metabolism,1,-1000,1000,0
4HPROLTabcpp,trans 4 Hydroxy D proline transport via ABC system,4hpro_LT[p] + atp[c] + h2o[c]  -> 4hpro_LT[c] + adp[c] + h[c] + pi[c] ,PP_1259,PP_1259,Transport ABC system,0,0,1000,0
4HPROLTtex,trans 4 hydroxy L proline transport extracellular ,4hpro_LT[e]  <=> 4hpro_LT[p] ,,,Transport Outer Membrane,1,-1000,1000,0
4HTHRS,4 Hydroxy L threonine synthase,h2o[c] + phthr[c]  -> 4hthr[c] + pi[c] ,( PP_1471  or  PP_0662 ),PP_0662 PP_1471,Cofactor and Prosthetic Group Biosynthesis Vitamin B6 Metabolism,0,0,1000,0
4MBZALDH,Benzyl alcohol dehydrogenase,4mbzalc[c] + nad[c]  -> 4mbzald[c] + h[c] + nadh[c] ,pWW0_128,pWW0_128,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
4MBZDH,Benzaldehyde dehydrogenase,4mbzald[c] + h2o[c] + nad[c]  -> 2 h[c] + nadh[c] + p_tol[c] ,pWW0_131,pWW0_131,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
4MCAT23DOX,catechol 2 3 dioxygenase,4mcat[c] + o2[c]  -> h[c] + hmccms[c] ,pWW0_097,pWW0_097,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
4OD,4 oxalocrotonate decarboxylase,h[c] + oxalc[c]  -> co2[c] + op4en[c] ,pWW0_091,pWW0_091,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
4OD2,4 oxalocrotonate decarboxylase p xylene ,2omcm[c] + h[c]  -> 2hchd[c] + co2[c] ,pWW0_091,pWW0_091,Aromatic Compounds Degradation Toluene Pathway,0,0,1000,0
4OT,4 oxalocrotonate tautomerase,2hmc[c]  <=> oxalc[c] ,( pWW0_090  or  PP_2504 ),PP_2504 pWW0_090,Aromatic Compounds Degradation Toluene Pathway,1,-1000,1000,0
4OT2,4 oxalocrotonate tautomerase pXylene ,hmccm[c]  <=> 2omcm[c] ,( pWW0_090  or  PP_2504 ),PP_2504 pWW0_090,Aromatic Compounds Degradation Toluene Pathway,1,-1000,1000,0
4PCP,tetrapeptide L D carboxypeptidase,LalaDgluMdapDala[c] + h2o[c]  -> LalaDgluMdap[c] + ala_D[c] ,PP_4799,PP_4799,Cell Envelope Biosynthesis Peptidoglycan Biosynthesis,0,0,1000,0
4PCPpp,tetrapeptide L D carboxypeptidase periplasm ,LalaDgluMdapDala[p] + h2o[p]  -> LalaDgluMdap[p] + ala_D[p] ,,,Cell Envelope Biosynthesis Peptidoglycan Biosynthesis,0,0,1000,0
5APTNabcpp,D amino valeric acid transport via ABC system periplasm ,5aptn[p] + atp[c] + h2o[c]  -> 5aptn[c] + adp[c] + h[c] + pi[c] ,( PP_1137  and  PP_1138  and  PP_1139  and  PP_1140  and  PP_1141 ),PP_1137 PP_1138 PP_1139 PP_1140 PP_1141,Transport ABC system,0,0,1000,0
5APTNtex,D amino valeric acid transport via diffusion extracellular to periplasm ,5aptn[e]  <=> 5aptn[p] ,,,Transport Outer Membrane,1,-1000,1000,0
5DH4DGLCD,5 dehydro 4 deoxyglucarate dehydratase decarboxylating ,5dh4dglc[c] + h[c]  -> 25dop[c] + co2[c] + h2o[c] ,PP_3599,PP_3599,Alternate Carbon Ascorbate and Aldarate Metabolism,0,0,1000,0
5DOAN,5 deoxyadenosine nuclosidase,dad_5[c] + h2o[c]  -> 5drib[c] + ade[c] ,,,Purine Metabolism,0,0,1000,0
5OXPROabcpp,L oxoproline transport via ABC system,5oxpro[p] + atp[c] + h2o[c]  -> 5oxpro[c] + adp[c] + h[c] + pi[c] ,,,Transport ABC system,0,0,1000,0
5OXPROtex,L oxoproline transport via diffusion extracellular ,5oxpro[e]  <=> 5oxpro[p] ,,,Transport Outer Membrane,1,-1000,1000,0
